순번,장소,구분,제한속도,위도,경도
1,중구 번영로 안국한의원(번영교),신호,60,,
2,남구 남부순환로 울산대공원남문(감나무진),속도,80,,
3,북구 달천로 상안초등학교(아이파크),신호,30,,
4,북구 아진1로 상안초등학교(홈플러스),신호,30,,
5,울주군 남부순환도로 신복고가차도(옥현),속도,70,35.5480978,129.2618641
6,남구 남산로 와와공원(태화로터리),속도,60,,
7,중구 강북로 학성배수장(번영교),속도,60,,
8,동구 봉수로 녹수초등학교(남목),속도,60,,
9,동구 방어진순환도로 방어진가압장(염포),속도,60,,
10,북구 염포로 염포중리마을앞(염포),속도,60,,
11,울주군 범서읍 을밀로 진목마을(언양),속도,80,35.5140791,129.046276
12,울주군 삼남면 반구대로 서울산IC(언양),속도,60,,
13,울주군 언양읍 남천로 언양영화초입구(상북),속도,50,,
14,울주군 웅촌면 웅촌로 광명주유소(울산),속도,70,,
15,울주군 웅촌면 웅촌로 상대마을(울산),속도,70,,
16,울주군 삼남면 반구대로 통도사IC(양산),속도,80,,
17,중구 북부순환도로 동중사거리(북구청),신호,70,,
18,중구 북부순환도로 길촌마을입구(중구청),신호,60,,
19,북구 산업로 약수마을(경주),신호,70,,
20,동구 방어진순환도로 한채사거리(남목),신호,60,,
21,북구 아산로 자동차선적장(동구),신호,70,,
22,북구 아산로 자동차선적장(시내),신호,70,,
23,울주군 온산읍 남창로 망양삼거리(울산),신호,80,,
24,울주군 웅촌면 웅촌로 울산컨트리클럽(부산),신호,70,,
25,남구 매암로 울산항6부두(장생포),속도,60,,
26,중구 강북로 내황교삼거리(아산로),속도,60,,
27,동구 방어진순환로 KCC정문(방어진),속도,60,,
28,울주군 청량읍 웅촌로 율현마을(울산),속도,70,,
29,북구 아산로(시내),속도,70,,
30,북구 산업로 원동현대아파트(공항),신호,70,,
31,북구 산업로 송정마을(공항),신호,70,,
32,남구 산업로 명촌교남교차로(공항),신호,70,,
33,울주군 온산읍 온산로 S오일정문(울산),신호,80,,
34,중구 번영로 병영오거리(번영교),신호,60,,
35,중구 화합로 반구사거리(중구청),신호,50,,
36,중구 번영로 복산육거리(중부서),신호,60,,
37,북구 산업로 명촌정문(경주),신호,70,,
38,남구 산업로 변전소사거리(여천),신호,70,,
39,북구 염포로 양정힐스테이트(효문),신호,60,,
40,동구 방어진순환도로 꽃나루공원(방어진),신호,60,,
41,울주군 언양읍 반구대로 언양터미널사거리(부산),신호,60,,
42,울주군 온산읍 덕신외로 온산터널(온양),속도,70,,
43,울주군 온산읍 덕신외로 온산터널(온산),속도,70,,
44,울주군 삼동면 삼동로 삼동교차로(삼남),속도,60,,
45,북구 산업로 현대오일뱅크(공항),속도,70,,
46,중구 다운로 다운중학교(태화동),속도,60,,
47,북구 오토벨리로 연암IC(효문),속도,70,,
48,북구 아산로(동구),속도,70,,
49,북구 무룡로 신명교차로(울산),속도,80,,
50,동구 미포산업로(강동),속도,60,,
51,동구 미포산업로(주전),속도,60,,
52,중구 태화로 동강병원(다운),신호,60,,
